name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
阿佐谷南１丁目第５,repark-rep0018641,東京都杉並区阿佐谷南１丁目１７,35.700930825963,139.63622269436,self_propelled,16,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,16,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0018641&st=4&pref=13
杉並成田東５丁目第３,repark-rep0023154,東京都杉並区成田東５丁目３４ー２４,35.700308612636,139.63290910921,self_propelled,3,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023154&st=4&pref=13
杉並成田東４丁目,repark-rep0002678,東京都杉並区成田東４丁目１４,35.697006238563,139.6358117982,self_propelled,6,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0002678&st=4&pref=13
阿佐谷南３丁目第１０,repark-rep0026680,東京都杉並区阿佐谷南３丁目５ー１４,35.701764026111,139.63366175768,self_propelled,5,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026680&st=4&pref=13
阿佐谷南３丁目第７,repark-rep0012736,東京都杉並区阿佐谷南３丁目２３ー２,35.701869562982,139.63327011835,self_propelled,2,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012736&st=4&pref=13
杉並成田東５丁目第２,repark-rep0020645,東京都杉並区成田東５丁目３３－１５,35.700200271867,139.63180087323,self_propelled,4,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0020645&st=4&pref=13
阿佐谷南１丁目第３,repark-rep0015327,東京都杉並区阿佐谷南１丁目４１ー４,35.701639137375,139.63926685393,self_propelled,5,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0015327&st=4&pref=13
杉並成田東４丁目第４,repark-rep0022710,東京都杉並区成田東４丁目１ー４８,35.695698032488,139.63506747626,self_propelled,9,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,9,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022710&st=4&pref=13
杉並成田東４丁目第５,repark-rep0025613,東京都杉並区成田東４丁目２１ー１９,35.695262005095,139.63718398656,self_propelled,8,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025613&st=4&pref=13
阿佐谷南３丁目第８,repark-rep0021145,東京都杉並区阿佐谷南３丁目３７,35.704222114433,139.63470600277,self_propelled,5,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0021145&st=4&pref=13
