name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
後楽２丁目第２,repark-rep0005742,東京都文京区後楽２丁目２０－１７,35.707315392291,139.74586885036,self_propelled,2,TRUE,,,hourly,330,20,,一般,5000,1900,2100,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0005742&st=4&pref=13
本郷１丁目第４,repark-rep0028590,東京都文京区本郷１丁目２７ー１,35.705399136887,139.75769851116,self_propelled,4,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028590&st=4&pref=13
本郷５丁目第４,repark-rep0026251,東京都文京区本郷５丁目１６ー１３,35.710109752232,139.75816770028,self_propelled,5,TRUE,,,hourly,330,30,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026251&st=4&pref=13
後楽２丁目,repark-rep0003158,東京都文京区後楽２丁目１８－２０,35.706607132009,139.74575222566,self_propelled,5,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0003158&st=4&pref=13
本郷５丁目第５,repark-rep0027125,東京都文京区本郷５丁目１４ー１,35.710790234185,139.75809545295,self_propelled,10,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,10,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027125&st=4&pref=13
本郷２丁目第３,repark-rep0021830,東京都文京区本郷２丁目１７ー９,35.70460478348,139.75802074397,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0021830&st=4&pref=13
後楽２丁目第３,repark-rep0013604,東京都文京区後楽２丁目２１ー４,35.707187605302,139.74457174197,self_propelled,4,TRUE,,,hourly,220,12,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0013604&st=4&pref=13
西片１丁目,repark-rep0008156,東京都文京区西片１丁目１９ー１４,35.71478693394,139.75267071943,self_propelled,2,TRUE,,,hourly,220,10,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0008156&st=4&pref=13
本郷郵便局駐車場,repark-rep0014163,東京都文京区本郷６丁目１ー１５本郷郵便局,35.71197901243,139.75903420825,self_propelled,5,TRUE,,,hourly,300,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014163&st=4&pref=13
本郷５丁目第６,repark-rep0028241,東京都文京区本郷５丁目３０ー２１,35.711723492009,139.7595064038,self_propelled,9,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,9,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028241&st=4&pref=13
